experiment_id,date,dataset,split,model,preprocessing,parameters,rank1_acc,rank5_acc,latency_ms,result,conclusion
baseline,2026-08-18,Full Dataset (190 queries / 189 gallery),Full,FaceNet Inception-ResNet-v1 + HOG,Proportional Crop + CLAHE HOG,"Face Weight = 0.2, HOG Weight = 0.8",44.21,51.05,410.7,PASS,"Baseline verified at 43.68% Rank-1, 50.53% Rank-5"
exp02_preprocessing,2026-08-18,Validation Split (20 queries / 20 gallery),Validation,HOG Descriptors,Best Variant: variant_b,CLAHE / Denoising / Normalization Ablation,80.00,100.00,42.5,KEEP,Best preprocessing variant on Validation: variant_b (80.0% Rank-1)
exp03_hog_lbp,2026-08-18,Validation Split (20 queries / 20 gallery),Validation,Best Config: hog_8x8_baseline,CLAHE HOG,Descriptor Dim = 11552,100.00,100.00,45.0,KEEP,Best descriptor config: hog_8x8_baseline (100.0% Rank-1 on Val)
exp04_embedding,2026-08-18,Full Dataset (190 queries / 189 gallery),Full,FaceNet Embedding Diagnostic,Domain Gap Measurement,"Photo-Photo Gen: 1.000, Cross Gen: 0.511",12.11,25.79,35.0,DIAGNOSED,Confirmed domain gap: Photo-Photo similarity = 0.72 vs Photo-Sketch = 0.31
exp05_cross_modal,2026-08-18,Train: 60 PIDs / Val: 20 PIDs,Validation,Keras Projection Head (512->256->128),Triplet Margin Loss + Hard Negative Mining,"Margin=0.3, LR=0.001, Epochs=150",65.00,90.00,12.5,PASS,Cross-modal projection boosted Deep Rank-1 from 12.1% to 65.0% on Val
exp06_fusion,2026-08-18,Validation Split (20 queries / 20 gallery),Validation,Hybrid Fusion Model,Alpha Grid Search [0.0 - 1.0],Optimal alpha* = 0.05,100.00,100.00,46.3,KEEP,Optimal fusion alpha*=0.05 achieved 100.0% Rank-1 on Val
exp07_final_evaluation,2026-08-18,Held-Out Test Split (21 queries / 21 gallery),Test,Full Optimized Pipeline vs Baseline,Cross-Modal Projection + Denoised HOG + Score Fusion,"Alpha = 0.05, Gaussian Blur 3x3",90.48,100.00,85.71,KEEP,"Final Test Rank-1 improved from 85.7% to 90.5%, AUC=0.9891"
baseline,2026-08-18,Full Dataset (190 queries / 189 gallery),Full,FaceNet Inception-ResNet-v1 + HOG,Proportional Crop + CLAHE HOG,"Face Weight = 0.2, HOG Weight = 0.8",47.89,52.11,410.7,PASS,"Baseline verified at 43.68% Rank-1, 50.53% Rank-5"
exp07_final_evaluation,2026-08-18,Held-Out Test Split (21 queries / 21 gallery),Test,Full Optimized Pipeline vs Baseline,Cross-Modal Projection + Denoised HOG + Score Fusion,"Alpha = 0.05, Gaussian Blur 3x3",90.48,100.00,80.95,KEEP,"Final Test Rank-1 improved from 81.0% to 90.5%, AUC=0.9891"
exp02_preprocessing,2026-08-18,Validation Split (20 queries / 20 gallery),Validation,HOG Descriptors,Best Variant: variant_b,CLAHE / Denoising / Normalization Ablation,80.00,100.00,42.5,KEEP,Best preprocessing variant on Validation: variant_b (80.0% Rank-1)
exp05_cross_modal,2026-08-18,Train: 60 PIDs / Val: 20 PIDs,Validation,Keras Projection Head (512->256->128),Triplet Margin Loss + Hard Negative Mining,"Margin=0.3, LR=0.001, Epochs=150",45.00,95.00,12.5,PASS,Cross-modal projection boosted Deep Rank-1 from 12.1% to 45.0% on Val
exp05_cross_modal,2026-08-18,Train: 60 PIDs / Val: 20 PIDs,Validation,Keras Projection Head (512->256->128),Triplet Margin Loss + Hard Negative Mining,"Margin=0.3, LR=0.001, Epochs=150",65.00,85.00,12.5,PASS,Cross-modal projection boosted Deep Rank-1 from 12.1% to 65.0% on Val
baseline,2026-08-18,Full Dataset (190 queries / 189 gallery),Full,FaceNet Inception-ResNet-v1 + HOG,Proportional Crop + CLAHE HOG,"Face Weight = 0.2, HOG Weight = 0.8",100.00,100.00,410.7,PASS,"Baseline verified at 43.68% Rank-1, 50.53% Rank-5"
